"","tow_lon","tow_lat","extra"
"1","-72.666951653936","41.7934274204079","222"
"2","-72.6692340442438","41.7631762636688","222"
"3","-72.7147596895596","41.7368302816653","222"
"4","-72.666951653936","41.7934274204079","222"
"5","-72.7130971128672","41.7600953055075","222"
"6","-72.6774034527789","41.7469779296146","222"
"7","-72.6708632553006","41.736647778939","222"
"8","-72.6572404264859","41.790273168747","222"
"9","-72.6708632553006","41.736647778939","222"
"10","-72.6708632553006","41.736647778939","222"
"11","-72.6739508418088","41.7515366032779","222"
"12","-72.6932709343548","41.7724703731619","222"
"13","-72.7174252695761","41.8006156291361","222"
"14","-72.7122506825809","41.7670628665726","222"
"15","-72.6831678425595","41.7541829414637","222"
"16","-72.674360738707","41.7675417102224","222"
"17","-72.7068011523916","41.7994275484041","222"
"18","-72.7068011523916","41.7994275484041","222"
"19","-72.7062106047726","41.7331793875851","222"
"20","-72.7123262989851","41.7474956416784","222"
"21","-72.7123262989851","41.7474956416784","222"
"22","-72.6831678425595","41.7541829414637","222"
"23","-72.6727834627171","41.7690386430371","222"
"24","-72.677075452767","41.7664941490908","222"
"25","-72.6763949391644","41.7784174079571","222"
"26","-72.6804439887179","41.7757613959297","222"
"27","-72.715262589459","41.7871552973854","222"
"28","-72.6985506421434","41.7984447295212","222"
"29","-72.6891339447666","41.7798433263433","222"
"30","-72.6990862501806","41.7590018445997","222"
"31","-72.6990862501806","41.7590018445997","222"
"32","-72.6921607051621","41.7840010176407","222"
"33","-72.704613477167","41.7658471187883","222"
"34","-72.683628743203","41.7525337558649","222"
"35","-72.6844839445919","41.7525086129498","222"
"36","-72.6779521494402","41.7491041641343","222"
"37","-72.6975427098316","41.7929011956935","222"
"38","-72.6803872796672","41.7566212951156","222"
"39","-72.6984865703765","41.7872934351975","222"
"40","-72.6895214186204","41.7805306669258","222"
"41","-72.6880126935214","41.7789770497671","222"
"42","-72.6880126935214","41.7789770497671","222"
"43","-72.6928861793453","41.7709955212083","222"
"44","-72.6928861793453","41.7709955212083","222"
"45","-72.6928861793453","41.7709955212083","222"
"46","-72.6754375983547","41.761301512461","222"
"47","-72.6647695316431","41.7993171832493","222"
"48","-72.6994303390329","41.7645761213297","222"
"49","-72.6994303390329","41.7645761213297","222"
"50","-72.6746345478135","41.7335260814639","222"
"51","-72.6916813962629","41.769785133336","222"
"52","-72.6916249112226","41.7692522491127","222"
"53","-72.7106217261739","41.7664951963584","222"
"54","-72.6961247502183","41.7683168841056","222"
"55","-72.6961247502183","41.7683168841056","222"
"56","-72.6743614138087","41.7601914643126","222"
"57","-72.7106217261739","41.7664951963584","222"
"58","-72.7106217261739","41.7664951963584","222"
"59","-72.7106217261739","41.7664951963584","222"
"60","-72.6939624386365","41.7680245763885","222"
"61","-72.6862673647214","41.7402403042372","222"
"62","-72.6781163217721","41.7961463298329","222"
"63","-72.6823461153617","41.7426751681499","222"
"64","-72.7081291766126","41.7649252731355","222"
"65","-72.6951045687093","41.74817140275","222"
"66","-72.7148026364391","41.7568627957211","222"
"67","-72.7086932055488","41.7701490219584","222"
"68","-72.7105745404733","41.7566112419507","222"
"69","-72.6734353919399","41.7450201404775","222"
"70","-72.6710264941463","41.7359100412397","222"
"71","-72.6916694348706","41.7716674242256","222"
"72","-72.6849769363319","41.7778872500873","222"
"73","-72.6745629090659","41.7818983023881","222"
"74","-72.6849769363319","41.7778872500873","222"
"75","-72.6849769363319","41.7778872500873","222"
"76","-72.6825030879317","41.7713101459255","222"
"77","-72.6810272805697","41.769715118174","222"
"78","-72.7088727812522","41.7895647609563","222"
"79","-72.6849769363319","41.7778872500873","222"
"80","-72.6849769363319","41.7778872500873","222"
"81","-72.6906831802672","41.7709367529751","222"
"82","-72.6849769363319","41.7778872500873","222"
"83","-72.6917513608356","41.7735469624969","222"
"84","-72.6973996616538","41.7649941550612","222"
"85","-72.6973996616538","41.7649941550612","222"
"86","-72.6973996616538","41.7649941550612","222"
"87","-72.6973996616538","41.7649941550612","222"
"88","-72.6849769363319","41.7778872500873","222"
"89","-72.6973996616538","41.7649941550612","222"
"90","-72.6763168639711","41.7552506054994","222"
"91","-72.6849769363319","41.7778872500873","222"
"92","-72.6973996616538","41.7649941550612","222"
"93","-72.6928116140569","41.7552061611608","222"
"94","-72.6891671231151","41.7559496826186","222"
"95","-72.6770614935897","41.7521423852151","222"
"96","-72.6769853693426","41.7518066988863","222"
"97","-72.6795733475357","41.7754120147176","222"
"98","-72.6834638789819","41.7578290848437","222"
"99","-72.6891671231151","41.7559496826186","222"
"100","-72.6937932350749","41.7522825637618","222"
"101","-72.6737526982948","41.7516666323101","222"
"102","-72.6911220712236","41.773735889034","222"
"103","-72.6947952265092","41.7714338321977","222"
"104","-72.7110531081803","41.7662285047927","222"
"105","-72.6930913777828","41.7521592311818","222"
"106","-72.692342655223","41.7579484918053","222"
"107","-72.6896267153824","41.7867000195769","222"
"108","-72.697277210001","41.7709161328927","222"
"109","-72.7041455843546","41.760243666912","222"
"110","-72.6951951473855","41.7737970054163","222"
"111","-72.6989267383068","41.7769298745985","222"
"112","-72.6747828469017","41.7514214203304","222"
"113","-72.7004445792642","41.7704808442812","222"
"114","-72.7004445792642","41.7704808442812","222"
"115","-72.7004445792642","41.7704808442812","222"
"116","-72.6928420906588","41.7732153762973","222"
"117","-72.7123881395153","41.7567915977676","222"
"118","-72.6953937262212","41.7670505790322","222"
"119","-72.6951184581352","41.7658428307045","222"
"120","-72.6986073185583","41.7649264703912","222"
"121","-72.6984066066359","41.7670195817999","222"
